CODIGO_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,CICLO_LECTIVO,COD_CARRERA,CARRERA,COD_GRADO,GRADO,ORDEN,AREA,COD_CNB,NOMBRE_ASIGNATURA,ABREVIATURA,PERIODOS_SEMANALES,OBLIGATORIA,ESTADO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,4TO_PC,4to Perito Contador,1,CONTABILIDAD,338,Contabilidad de Sociedades,338,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,4TO_PC,4to Perito Contador,2,MATEMÁTICA,339,Matemática Comercial,339,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,4TO_PC,4to Perito Contador,3,FUNDAMENTOS DEL DERECHO,340,Fundamentos de Derecho,340,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,4TO_PC,4to Perito Contador,4,INGLÉS,341,Inglés Comercial I,341,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,4TO_PC,4to Perito Contador,5,REDACCIÓN Y CORRESPONDENCIA,342,Redacción y Correspondencia Mercantil,342,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,4TO_PC,4to Perito Contador,6,INTRODUCCIÓN A LA ECONOMÍA,343,Introducción a la Economía,343,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,4TO_PC,4to Perito Contador,7,ORTOGRAFÍA Y CALIGRAFÍA,344,Ortografía y Caligrafía,344,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,4TO_PC,4to Perito Contador,8,ADMINISTRACIÓN Y ORGANIZACIÓN DE OFICINA,345,Administración y Organización de Oficina,345,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,4TO_PC,4to Perito Contador,9,COMPUTACIÓN,346,Computación I,346,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,1,CONTABILIDAD,347,Contabilidad de Costos,347,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,2,CONTABILIDAD,348,Cálculo Mercantil y Financiero,348,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,3,INGLÉS,349,Inglés Comercial II,349,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,4,LEGISLACIÓN FISCAL Y ADUANAL,366,Legislación Fiscal y Aduanal,366,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,5,FINANZAS PÚBLICAS,367,Finanzas Públicas,367,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,6,GEOGRAFÍA ECONÓMICA,352,Geografía Económica,352,2,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,7,CATALOGACIÓN Y ARCHIVO,368,Catalogación y Archivo,368,2,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,8,MECANOGRAFÍA,354,Mecanografía,354,5,SI,ACTIVO
